Sensitivity_Type,Scenario,Shock,District,Predicted_Average_Price_Growth,Predicted_Median_Price_Growth,Average_Growth_Change,Median_Growth_Change
Individuals_only,-5%,-0.05,ISLINGTON,0.0057867892571373866,-0.0167166705779071,0.0021611393742413383,0.0015965195735563632
Individuals_only,-5%,-0.05,KENSINGTON AND CHELSEA,-0.005316557814142201,-0.03426233719326809,0.001311410382291732,0.0003937944900668511
Individuals_only,-5%,-0.05,KINGSTON UPON THAMES,-0.022017368990004584,0.009289274720650423,0.0016085514197584048,0.0001528443081461068
Individuals_only,-5%,-0.05,LAMBETH,-0.01308431824460544,-0.005318585307506702,0.003335564850661379,0.0009249065889609378
Individuals_only,-5%,-0.05,LEWISHAM,0.0006868950156102027,0.009673996304631446,0.0028507122345959655,8.462366104886737e-06
Individuals_only,-5%,-0.05,MERTON,-0.018775434179030853,0.012417167211218626,0.002310396578235469,0.00022775759612489802
Individuals_only,-5%,-0.05,NEWHAM,0.029345402369416143,0.025813354081205147,0.00325649040178351,0.00040769630723743247
Individuals_only,-5%,-0.05,REDBRIDGE,0.011541631059405309,0.021594450352182364,0.0029040623971655355,0.0
Individuals_only,-5%,-0.05,RICHMOND UPON THAMES,0.0074983052781588035,-0.021536300667959623,0.001955327476460593,0.008507656616869228
Individuals_only,-5%,-0.05,SOUTHWARK,0.02344338033192893,-0.00687349140048141,0.003083745040407263,-0.00010986868201429828
Individuals_only,-5%,-0.05,SUTTON,0.03938867542481243,0.028248922448275888,0.002014188728430899,0.0005314249327961033
Individuals_only,-5%,-0.05,TOWER HAMLETS,-0.03203556177999939,-0.0074263168032546205,0.003042808034475167,-1.734723475976807e-18
Individuals_only,-5%,-0.05,WALTHAM FOREST,0.023072146122154295,0.020904069964699984,0.0027472340479882604,0.0
Individuals_only,-5%,-0.05,WANDSWORTH,-0.007547841758153904,-0.024293900085921624,0.0036925355423892345,0.0
Income_only,-5%,-0.05,BARKING AND DAGENHAM,0.027064766529248867,0.04629017376783108,0.0021501564690049567,0.0006505012054405582
Income_only,-5%,-0.05,BARNET,-0.00542141032157443,0.00812375072711538,0.0026583092286734545,-0.00014686454353234416
Income_only,-5%,-0.05,BEXLEY,0.01853830983462594,0.019722859330574553,0.002456014714557038,0.0005475879199197051
Income_only,-5%,-0.05,BRENT,0.002425631050970553,0.02139716174038213,0.0022062754288325187,0.006238625389617969
Income_only,-5%,-0.05,BROMLEY,0.009335497701155155,0.022427033230055494,0.0028460828719913678,0.0019204801851294279
Income_only,-5%,-0.05,CAMDEN,-0.0031046775449156574,-0.010658165370307513,0.0031498432221689914,0.017655250979370332
Income_only,-5%,-0.05,CITY OF LONDON,0.024199492354638558,-0.029827067986726588,0.005216003090772005,0.0
Income_only,-5%,-0.05,CITY OF WESTMINSTER,-0.057962911320097614,-0.04316223139879784,0.0034944457747082963,-0.00026250703822132404
Income_only,-5%,-0.05,CROYDON,0.03200128563970737,0.026071231023429883,0.002439971617085035,0.0023714540511610947
Income_only,-5%,-0.05,EALING,0.008486554957556928,0.01958286708173921,0.0024027232022591685,0.0021905226627577067
Income_only,-5%,-0.05,ENFIELD,0.037911618572794695,0.023321442630436257,0.0023601161260209044,0.0020781225000379225
Income_only,-5%,-0.05,GREENWICH,-0.003712996489628448,0.01087589988063173,0.0026879366341625893,0.00042217613071688156
Income_only,-5%,-0.05,HACKNEY,-0.0025939816916071105,0.00326710041664907,0.002798951970446951,0.0018444106581725819
Income_only,-5%,-0.05,HAMMERSMITH AND FULHAM,-0.018012742593999886,-0.005926983464979936,0.003070483162568593,0.01411208148095159
Income_only,-5%,-0.05,HARINGEY,0.03385096784509666,0.012000406286741948,0.002562437716533479,0.00045974692994461656
Income_only,-5%,-0.05,HARROW,0.0006103713378387558,0.012529244502862389,0.0024876766202147895,0.00011006387858234629
Income_only,-5%,-0.05,HAVERING,0.021464187664245328,0.022266188865381235,0.0024786740892518734,0.0002925113432729609
Income_only,-5%,-0.05,HILLINGDON,0.0057581353467304735,0.020183936924598845,0.0025680740905841405,0.0005579922105848623
Income_only,-5%,-0.05,HOUNSLOW,-0.002910524343751807,0.021018450287826364,0.0023256073949859636,0.0030288198665961545
Income_only,-5%,-0.05,ISLINGTON,0.006608761626693757,0.0029736523018438327,0.002983111743797709,0.021286842453307295
